target,feature_1,feature_2,feature_3,avg_R2,FF,FFS,SF,SFS,TF,TFS
sigma_112_e,Ti,gamma_110_usf,gamma_123_usf,0.7764807842265967,gamma_110_usf,0.4078972956068953,gamma_123_usf,0.4016128170100531,Ti,-0.0001317585871938772
sigma_112_e,Ti,gamma_110_usf,tao_110_iss,0.7450336180775602,gamma_110_usf,0.6531579831457843,tao_110_iss,0.16312175853401975,Ti,0.0028466445801923874
sigma_112_e,Ti,gamma_112_usf,gamma_123_usf,0.8098715422675195,gamma_112_usf,0.4736206975342257,gamma_123_usf,0.3382144163764622,Ti,0.0016726742992713265
sigma_112_e,Ti,gamma_112_usf,tao_110_iss,0.7187137076142105,gamma_112_usf,0.6236850393687237,tao_110_iss,0.16776519193674366,Ti,0.0009577355024230813
sigma_112_e,Ti,gamma_112_usf,tao_112_iss,0.7195482072670587,gamma_112_usf,0.744741425679718,tao_112_iss,0.12047825439197636,Ti,-7.011022238830045e-06
sigma_112_e,Ti,gamma_123_usf,tao_110_iss,0.7331241425972007,gamma_123_usf,0.711422476476652,tao_110_iss,0.10773400990590998,Ti,0.0006484283251611314
sigma_112_e,Ti,gamma_123_usf,tao_112_iss,0.7203290694251351,gamma_123_usf,0.6071126136813966,tao_112_iss,0.1335397296883301,Ti,-0.00037160134861813815
sigma_112_e,Mo,Hf,gamma_110_usf,0.7430589704023088,gamma_110_usf,0.49627444203606297,Mo,0.32291089113207233,Hf,0.001380183441612546
sigma_112_e,Mo,Hf,gamma_112_usf,0.7573420235301187,gamma_112_usf,0.42791439884713983,Mo,0.3407601155572784,Hf,0.01037770798502805
sigma_112_e,Mo,Hf,gamma_123_usf,0.7644310293315469,gamma_123_usf,0.5277203442182737,Mo,0.30051943658261876,Hf,0.0018854264723990905
sigma_112_e,Mo,Zr,gamma_110_usf,0.7463678931928285,gamma_110_usf,0.6246002683755475,Mo,0.23478592243716576,Zr,-0.0027084973853989582
sigma_112_e,Mo,Zr,gamma_112_usf,0.7614218020176434,Mo,0.4225119151532173,gamma_112_usf,0.38851566185171826,Zr,-0.0005523961650842223
sigma_112_e,Mo,Zr,gamma_123_usf,0.7229821652428794,gamma_123_usf,0.4515768369999676,Mo,0.36221418517141335,Zr,-0.002750057398071435
sigma_112_e,Mo,C12,gamma_110_usf,0.7409307780168451,gamma_110_usf,0.23243043654897744,Mo,0.21317355875745372,C12,0.19671992295766647
sigma_112_e,Mo,C12,gamma_112_usf,0.7425560331735123,gamma_112_usf,0.26091839823914476,Mo,0.2533342694164028,C12,0.1406109291352684
sigma_112_e,Mo,C12,gamma_123_usf,0.7497516562815362,Mo,0.23986853933229998,gamma_123_usf,0.23539027890250322,C12,0.20320267866171696
sigma_112_e,Mo,C44,gamma_110_usf,0.7111679286914715,gamma_110_usf,0.2670608468666391,Mo,0.22843286091395523,C44,0.1506892103261412
sigma_112_e,Mo,C44,gamma_112_usf,0.7461750865924951,Mo,0.3235063991909229,gamma_112_usf,0.2644697632333249,C44,0.0763096307858195
sigma_112_e,Mo,Ecoh_(eV),gamma_110_usf,0.7628391352057514,gamma_110_usf,0.47058334385445416,Mo,0.3051567066521735,Ecoh_(eV),0.004288218380277121
sigma_112_e,Mo,Ecoh_(eV),gamma_112_usf,0.7679632571151075,gamma_112_usf,0.41516468020819786,Mo,0.35503596717114844,Ecoh_(eV),0.0023382960691410944
sigma_112_e,Mo,Ecoh_(eV),gamma_123_usf,0.7542119547098459,Mo,0.37951586745633986,gamma_123_usf,0.3695093258840247,Ecoh_(eV),0.003776491317076603
sigma_112_e,Mo,gamma_110_usf,gamma_112_usf,0.7903912982316105,Mo,0.3132113904577036,gamma_112_usf,0.23006971971460263,gamma_110_usf,0.1794497992658843
sigma_112_e,Mo,gamma_110_usf,gamma_123_usf,0.7914703277121101,Mo,0.34657725424027414,gamma_110_usf,0.24170957453490494,gamma_123_usf,0.13574715108842278
sigma_112_e,Mo,gamma_112_usf,gamma_123_usf,0.7842423136256733,gamma_112_usf,0.28637542068465677,gamma_123_usf,0.275307007204059,Mo,0.18524957664055972
sigma_112_e,Mo,gamma_112_usf,tao_110_iss,0.7596378944184629,gamma_112_usf,0.31355824765353735,Mo,0.22342988347400214,tao_110_iss,0.1270384830785441
sigma_112_e,Mo,gamma_112_usf,tao_112_iss,0.7517831907671159,Mo,0.33563752426418225,gamma_112_usf,0.23833281794947872,tao_112_iss,0.10294570592907937
