target,feature_1,feature_2,feature_3,avg_R2,top_feature,top_feature_score,second_top_feature,second_top_feature_score
sigma_112_e,Zr,C44,gamma_112_usf,0.7249287305066523,gamma_112_usf,0.6829991959696798,C44,0.1088874337576159
sigma_112_e,Zr,C44,gamma_123_usf,0.7421750927465723,gamma_123_usf,0.697036502941962,C44,0.1334908976173632
sigma_112_e,Zr,Ecoh_(eV),gamma_110_usf,0.7842746416705646,gamma_110_usf,1.0397087705831987,Ecoh_(eV),6.546815676696655e-05
sigma_112_e,Zr,Ecoh_(eV),gamma_112_usf,0.7677033742113498,gamma_112_usf,1.0612761389862808,Ecoh_(eV),0.0006598990514835081
sigma_112_e,Zr,Ecoh_(eV),gamma_123_usf,0.7997884075495479,gamma_123_usf,1.0268027589066413,Ecoh_(eV),0.00021032031587269137
sigma_112_e,Zr,gamma_110_usf,gamma_112_usf,0.7832620085553424,gamma_112_usf,0.4026792418661563,gamma_110_usf,0.37950736693395654
sigma_112_e,Zr,gamma_110_usf,gamma_123_usf,0.7828317691518075,gamma_123_usf,0.5809579032311857,gamma_110_usf,0.2855140258856908
sigma_112_e,Zr,gamma_112_usf,gamma_123_usf,0.7537555340460741,gamma_112_usf,0.44479808443147895,gamma_123_usf,0.329784132857461
sigma_112_e,Zr,gamma_112_usf,tao_112_iss,0.7277103943054768,gamma_112_usf,0.7106407326174383,tao_112_iss,0.12491470174001428
sigma_112_e,Zr,gamma_123_usf,tao_110_iss,0.735974475751943,gamma_123_usf,0.6581319155498472,tao_110_iss,0.13292486588167896
sigma_112_e,C11,C12,gamma_110_usf,0.7395790334606027,C12,0.32291255433082156,gamma_110_usf,0.199302381441519
sigma_112_e,C11,C12,gamma_112_usf,0.733735358263521,gamma_112_usf,0.3131526711463744,C12,0.18061624827601833
sigma_112_e,C11,C12,gamma_123_usf,0.7257678915273266,C12,0.2509165876889993,gamma_123_usf,0.23435922840753623
sigma_112_e,C11,C44,gamma_112_usf,0.7334106274175922,gamma_112_usf,0.31138868398867436,C11,0.17360143203420722
sigma_112_e,C11,C44,gamma_123_usf,0.7121809111120548,gamma_123_usf,0.4394898314515552,C44,0.1333635725055607
sigma_112_e,C11,Ecoh_(eV),gamma_112_usf,0.7176059829783333,gamma_112_usf,0.4290043316295295,C11,0.2603857786462312
sigma_112_e,C11,gamma_110_usf,gamma_112_usf,0.7556099633468848,gamma_112_usf,0.2795631842482753,gamma_110_usf,0.23711502944180143
sigma_112_e,C11,gamma_110_usf,gamma_123_usf,0.7146766704330836,gamma_123_usf,0.3116365616283815,gamma_110_usf,0.26799588139396724
sigma_112_e,C11,gamma_112_usf,gamma_123_usf,0.7489689622828513,gamma_112_usf,0.3122222730765154,gamma_123_usf,0.20711624884307675
